course_code,course_description,University,Country,Faculty,Department
BMED1207,"Fundamentals of chemistry and biology for biomedical engineering: A. Chemistry for Biomedical Engineering This section will provide foundation knowledge of chemistry important for establishing a sound basis for interdisciplinary units of study in biomedical engineering. Aspects of molecular structure and bonding, isomerism, chemical reactivity and water, molar calculations and biochemical thermodynamics are included as necessary for understanding functions of biological molecules in biomedical engineering. B. Biology for Biomedical Engineering This section will focus on basic structures of the biological macromolecules, proteins, nucleic acids, lipids, carbohydrates. For each class of molecule, links will be made to build relevance to biomedical engineering applications through active learning approaches. C. Emerging Technologies in Biomedical Engineering This section of the course will inspire exciting recent progress in molecular biomedical engineering, building on the basics taught in the course and providing a taster of the frontiers in biomedical engineering which will be built upon in later years.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2020,"Engineering training: Knowledge and practical use of hardware and software tools for soldering, wire-wrapping, PCB design and production, virtual instrumentation hard design and production, software programming of LabView, CAD/CAM, prototyping, moulding and metrology.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2206,"Engineering in biology and medicine: This course is an overview of the essential areas in biomedical engineering, including technologies and applications in life sciences and medicine. The course is broadly divided into 4 areas: biomechanics and biomaterial; cell and tissue engineering; biomedical instrumentations and signals, and medical devices and imaging. The global development and other issues, such as safety, ethics, and industry, will also be addressed. The course has a laboratory component to provide the students with hands-on experience in the subject as well as a group project component to explore and understand current grand challenges in biomedical engineering.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2301,"Life sciences I (Biochemistry): This course presents an overview and an understanding of the basic mechanisms underlying life processes. Topics include chemistry of life – pH, water, etc; fundamental bioenergetics; biomolecules and their functions; intermediary metabolism; enzymes and coenzymes; nucleic acids and genetic information.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2302,"Life sciences II (Cell Biology & Physiology): This course aims to provide a basic understand of the structure and function of cells and tissues within our body, including the structures and functions of the cell; the general organisation of epithelium and glands; the different types and functions of the connective tissues; the general organisation of the nervous tissues, muscle and skin tissues, bone marrow and lymphatic tissues. The second part of the course will provide the students with integrated knowledge of human physiology and pathophysiology that is relevant to biomedical engineering in such areas as organization of the body, homeostasis and excitable tissues; the cardiovascular system; the renal system, and some common disorders of the cardiovascular and renal systems.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2500,"Biomedical signals and linear systems: The theory of signals and linear systems is fundamental to all engineering disciplines. This is the first course in signals and linear systems for biomedical engineering students without any pre-requisite knowledge in signal theory or signal processing other than knowledge in fundamental calculus and the use of complex numbers. The course uses simple real-life examples of signals and systems to illustrate how signal theory can be used in biomedical applications. An introduction to MATLAB is included as a tool for basic signal modelling, computational realization of basic signal theory, and analysis of real biomedical signals acquired by students themselves in a lab session. This course aims to help students gain a firm understanding of fundamental signal and linear system concepts and theory using adequate mathematical and computing techniques to tackle simple signal processing problems. It serves as a pre-requisite course for many other courses, including Integrated Projects, Medical Imaging, Biomedical Engineering Laboratory, Statistics and Mathematical Analysis for Biomedical Engineering, Biomedical Instrumentation and Systems, Digital Signal Processing, Control and Instrumentation, Communication Systems, Digital Image Processing, and some elective courses, etc. Specifically, the course covers the following topics: time-domain signal representation, periodic and aperiodic signals; spectral representation of signals, Fourier series and Fourier transform; system responses and linear system modelling; sampling, aliasing and analog-to-digital conversion; convolution and correlation; FIR filters and digital filtering; IIR filters and frequency response of digital filters; continuous-time systems and Fourier transform properties; application examples of biomedical signal analysis and processing. At the end of the course, students should have a clear understanding of the fundamentals of signals and system theory to enable them to perform simple biomedical signal analysis and processing using both analytical methods and computing tools, link the mathematical representation of signals to some very simple real life signals, and vice versa, and appreciate the applications of linear systems theory in solving some simple real life problems. In addition, students should be aware of the complexity of real-life problems and the need to continue investigation in practice after graduation.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2600,"Biomechanics for biomedical engineering: Stress and strain; bending and deflection of beams; structural failure and viscoelasticity; Kinematics of particles, momentum and energy principles; free vibration and kinematics of mechanisms; human gait and motion; bone fracture & fixation.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2810,"Engineering management and society: The aims are to develop basic understanding of organization and management skills, professional ethics and legal foundation for the engineering discipline. Topics on engineering organization, project management and managerial skills, decision making processes, contingency and crisis management, leadership, corporate culture and philanthropy will be discussed. In order to provide a clear and right insight for engineering students to interact and contribute to the society, topics related to professional conduct, social responsibility, sustainability and safety issues, technology and environment, professional ethics are included. For the legal foundation, topics such as contract, intellectual property, tort, professional negligence and related law issues are discussed.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3010,"Integrated project: This project is broadly centered around the topic of biomedical circuits. Its overall aim is to provide biomedical engineering students with a hands-on opportunity to develop a practical and functional biomedical device, such as an electrocardiogram (ECG) system or pulse oximeter based on simple electronic circuits from scratch and thereby learn more about the technical details of such devices. Upon completing this course, the student should be able to explain to others the practical importance and technical details of electronic circuits used for physiological measurements; (e.g. bio-potentials or blood oxygenation) to develop a standalone medical device package using basic electronic parts such as opamp chips, resistors, and capacitors. Understand how proper design of circuits can play an important role in assisting medical diagnoses accordingly.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3020,Professional training (Internship): This course aims to provide our students with on-the-job training in local or non-local companies or organizations so that they can integrate theory learning with practical applications; understand real-life organizational structure and business operation; learn how to build human relations with seniors and co-workers; and enrich personal resume for becoming engineering professional.,HKU,Hong Kong,Engineering,Biomedical Engineering
