,course_code,course_description,University,Country,Faculty,Department,URL
0,COMP11012,Foundation in Computer Science-Computational Thinking: The unit aims to introduce students to Computational Thinking: the thought processes involved in formulating a problem and expressing its solution(s) in such a way that a computer — human or machine — can effectively carry out. The unit aims to introduce students to Computational Thinking: the thought processes involved in formulating a problem and expressing its solution(s) in such a way that a computer — human or machine — can effectively carry out.,Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP11012/
1,COMP11120,"Mathematical Techniques for Computer Science: This course covers the fundamental maths required by Computer Science students in order to successfully complete the reminder of their courses as well as for a career in computer science. Topics covered include complex numbers, logic, probability, recursion and induction, relations, vectors, matrices and transformations. This is a full year course that focuses on areas of mathematics required to model and analyse the kind of problems that arise in computer science. Probabilities are used for example in artificial intelligence, and play a vital role in machine learning, while the combinatorics required here also plays a role in the field of computational complexity. Vectors and matrices are the mathematical model underlying computer graphics. Logic is a tool used to reason about computer programs as well as the real world. Recursion is an important programming principle that comes with an associated proof rule, and other mathematical notions such as functions and relations are used routinely in computer science, for example when talking about database systems. Theoretical computer science can be considered an area of mathematics, and the unit also provides an introduction to the fundamental notions of this area. Specifically the unit aims to - introduce mathematical notions relevant to computer science and their applications; - illustrate how abstraction allows the formulation and proof of properties for real-world and computational phenomena, and enable students to apply this technique; - give an understanding and some practice in the fundamental notion of proof.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP11120/
2,COMP11212,"Fundamentals of Computation: Student comments: 'The material was very interesting and I could definitely see it being useful on the near future. Overall, I enjoyed this course unit, because I felt that it extended to other course units.' - 'Through the material covered you understand better how the computer interpretes data (and generally works), and learn more about programming languages and algorithms.' - 'The course content was extremely interesting, and the PhD demonstrators were helpful and approachable. I am glad I took this module.'. This course unit provides a first approach to answering the following questions. What methods are there that can help understanding complicated systems or programs? How can we make sure that a program does what we intend it to do? How do computers go about recognizing pieces of text? If there are two ways of solving the same problem, how can we compare them? How do we measure that one of them gives the solution faster? How can we understand what computers can do in principle, and are there problems that are not solvable by a computer?",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP11212/
3,COMP12111,"Fundamentals of Computer Engineering: In this course you will learn about the design of digital electronic systems from simple digital circuits to the design of a simple processor. The exercises undertaken in laboratories complement the material covered in lectures. Professional commercial software tools are used in laboratories to enter designs and simulate their behaviour. The main aim of this course is to give students a basic understanding of the hardware which underpins computing systems. Further aims include: Introduction to basic logic and logic gates Partitioning of simple systems into combinatorial and sequential blocks To introduce basic CAD tools to aid in the design of a basic computer system To provide an overview of hardware description languages with particular emphasis on SystemVerilog, logic level implementation of a simple processor, discussion of how computer systems interact with memory and I/O devices",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP12111/
4,COMP13212,"Data Science: This course unit has two objectives. The first is to introduce the student to a range of fundamental, non-trivial algotithms, and to the techniques required to analyse their correctness and running-time. The second is to present a conceptual framework for analysing the intrinsic complexity of computational problems, which abstracts away from details of particular algorithms. • To give students awareness of the elements of the 'The Data Science Process'. Many of the elements of this process will be studied in finer detail, although not all. • To give students practice using python tools for data processing and analysis, through practical computer laboratory exercises. Tools include: numpy, scipy.stats, pandas, and Jupyter notebooks, • To demonstrate methods for exploring and visualising data, and give students practice in using these methods. • To give students understanding of uncertainty in data, in particular, methods for measuring uncertainty, and when to use appropriate measures. • To give students an introduction to statistical thinking and Bayesian reasoning. • To give students an introduction to ethical considerations when analysing data and drawing responsible conclusions. • To give a brief introduction to concepts from machine learning, including: classification/regression, overfitting/underfitting, the need for independent testing data, and cross-validation, including leave-one-out validation. • To demonstrate some practical application of basic machine learning methods, including the Bayesian classifier, the naive Bayes classification, linear regression, and logistic regression.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP13212/
5,COMP15111,"Fundamentals of Computer Architecture: The module introduces Fundamental concepts involved in Computer Architecture, which is the study and design of Computer Systems. Among others, the module discusses architecture terminology (how do we talk about computer systems), models (how do we think about computer systems), topologies (how are computers structured), how programs are executed by the hardware, and how data (whether numbers, text, colours, or polygons) are represented in hardware using only binary digits. Understanding the Fundamentals of Computer Architecture is essential for being able to reason about what exactly happens when we run a program. This is important not just for hardware designers and low level (Operating System, embedded) software developers, but for everyone that wants to create high performing, but still correct, software. As such, it is an increasingly important skill in Computer Science roles in business and finance. More generally, demystifying Computer Systems gives students a strong competitive advantage relative to developers that have no concept of what their code does, whether these developers are human ones or AI models. This unit aims to introduce computer instruction sets and the binary representation of information, by exploring the relationship between high-level language programs and the basic structure and operation of digital computers, including the process that implements this relationship. Python and the RISC-V processor are used as exemplars. Practical experience is gained in the laboratory through exercises which progressively expose features of the RISC-V instruction set. The course-unit aims to serve as an essential foundation for further studies in the single honours Computer Science degree programme.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP15111/
6,COMP15212,"Operating Systems: This course introduces the concept of an operating system -- the layer of software that mediates between the computer's underlying hardware, and the processes and users of that hardware.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP15212/
7,COMP16321,"Introduction to Programming 1: This course offers a comprehensive introduction to programming through Python, one of the most accessible and widely used programming languages today. Students will explore core programming concepts including variables, control structures, functions, file handling, and modular design. The curriculum also covers practical skills such as using libraries, building graphical user interfaces, implementing animations, and visualising data. With an emphasis on writing maintainable and secure code, students will gain the confidence to analyse, design, and implement solutions to real-world problems. Through a blend of foundational theory and hands-on coding experience, this course equips learners with the essential tools and mindset to begin their journey as capable, problem-solving developers. The aim of this course unit is to provide students with a solid foundation in programming principles, practices, and problem-solving techniques, using Python as a modern, versatile, and widely adopted programming language. The course introduces programming as a key computational thinking skill, enabling students to analyse problems, design algorithms, and translate these into functional, maintainable code. It explores the fundamental constructs of programming variables, data types, control flow, and modular design while also encouraging an understanding of how these constructs manifest in different programming paradigms and languages. A strong emphasis is placed on structured and maintainable code development, including the use of functions, libraries, and file handling to build reusable, efficient solutions. Students will gain practical experience using standard development tools and environments, and will learn how to structure projects for clarity, scalability, and reuse. The course explores user interaction through graphical user interfaces (GUIs) and introduces techniques for creating visual and animated content using Python libraries. These experiences are supported by an introduction to secure coding practices, including input validation, error handling, and awareness of common vulnerabilities in software development. Object-oriented programming (OOP) is introduced as a key approach to structuring more complex programs, providing a foundation for future software development. Students will learn basic class design and encapsulation, setting the stage for further exploration in more advanced modules. The course also introduces data visualisation, enabling students to present and interpret data effectively using Python libraries. This supports not only programming skill development but also broader competencies in communication and analytical thinking. Throughout the course, students will apply their learning through hands-on programming exercises and projects, gradually developing the ability to design, implement, evaluate, and refine software solutions. By the end of the unit, students will be well-equipped to continue their programming journey with confidence and a clear understanding of the tools, techniques, and mindsets required for success.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP16321/
8,COMP16412,"Introduction to Programming 2: This course introduces the concepts of object oriented programming using the Java language. The features of the object oriented paradigm will be illustrated through theoretical classes, and practical workshops and labs. To specify, design, test, develop, deploy, debug and run programmes of a significant complexity using an object-oriented language (ie Java) and its standard platform. To identify the strengths and weaknesses of the paradigm and the language.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP16412/
9,COMP21111,"Logic and Modelling: This is a unique course developed at the University of Manchester. It explains how implementations of logic can be used to solve a number a number of problems, such as solving hardest Sudoku puzzles in no time, analysing two-player games, or finding serious errors in computer systems. This course intends to build an understanding of fundamentals of (mathematical) logic as well as some of the applications of logic in modern computer science, including hardware verification, finite domain constraint satisfaction and verification of concurrent systems.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP21111/
