course_code,course_description,University,Country,Faculty,Department
CIVL1117,"Construction materials: The primary objective is to provide students with fundamental knowledge in material science and technology, and the properties and applications of common construction materials. For material science and technology, the course covers atomic structure and bonding, crystalline structure, physical bases for elasticity and plasticity, fracture, fatigue, creep and relaxation, and corrosion. For common construction materials, the course covers concrete, structural steel, polymer, brickwork and masonry, timber, glass, aluminium and bituminous materials. Selection of low-carbon and sustainable construction materials is also discussed. This course provides the necessary backgrounds for studying the other courses in the programme. In addition to a number of lectures on the course topics, there will be laboratory work on tensile test of metals and concrete test. The tensile test of metals aims to study the tensile stress-strain behaviour of ductile (represented by mild or high-yield steel) and non-ductile (represented by cast iron) steel bars. For the concrete test, students will learn to cast concrete cubes and test them at the age of 7 days and 28 days. Students in small groups of 4 to 5 each will conduct the experiments together but they will analyse the test data and submit the report independently.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL1105,"Environmental engineering: This is an introductory course on environmental engineering. The course covers the physical, chemical, and biological principles that are applicable to environmental engineering. Topics on water quality, water and wastewater treatment, air pollution control, and global climate change are discussed.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL1115,"Civil engineering informatics: This course aims to provide students with an overview on the applications of advanced computing, modeling, information and communication technologies to facilitate the practice of civil engineering. Students will be introduced to the basic surveying instruments and data collection techniques through lectures and field work, as well as the data presentation techniques for producing of both hand drawings and computer aided drafting (CAD) drawings. Students are expected to understand and appreciate the importance of surveying and drawing in the construction industry in order to prepare them for an engineering career.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL1118,"Structural mechanics: The primary objective is to provide students with an understanding of the behaviour of beams and simple structures, which is required for their future studies in structural and geotechnical engineering. Students will develop the skills of evaluating the performance of engineering structures of various types under external loads within the elastic limit and analysing the vulnerability of these structures to various actions. This course covers stress and strain; generalized Hooke’s law; static determinate beams and frames; torsion; combined loadings; flexural deformation of beams; stress transformation and Mohr’s circle; failure criterion; column buckling. In addition to a number of lectures on the course topics, there will be laboratory work on buckling of columns. The buckling test aims to show Euler’s buckling load for slender columns. Students in small groups will conduct the experiments together but they will analyse the test data and submit the report independently.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2102,"Engineering geology and rock mechanics: This course provides an introduction to engineering geology including rock types and soil formation, acquainting the students with the fundamental aspects of rock mechanics, and developing the students' capability of applying the concepts and knowledge to solve practical problems in rock engineering.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2103,"Fluid mechanics: The course introduces the fundamental concepts of fluid flow, and examples of engineering fluid mechanics. The course helps students to develop a sound understanding of control volume analysis, and its use with mass, momentum, and energy conservation principles. The course prepares students for dimensional analysis for the use of scale models in wind tunnel and hydraulic model testing.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2104,"Hydraulics and hydrology: This course is to consolidate the principles of fluid mechanics learnt in CIVL2103, to apply them to civil engineering hydraulic problems, and to provide an understanding of the basic concepts of the hydrological cycle including its relevance and application to civil engineering field.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2106,"Soil mechanics: Soil mechanics is a branch of engineering mechanics that describes the behaviour of soils. It differs from fluid mechanics and solid mechanics in the sense that soils consist of a heterogeneous mixture of fluids (usually air and water) and particles (usually clay, silt, sand and gravel) but soil may also contain organic solids, liquids, and gasses and other matter. Along with rock mechanics, soil mechanics provides the theoretical basis for analysis in geotechnical engineering. Soil mechanics is used to analyze the deformations of and flow of fluids within natural and man-made structures that are supported on or made of soil, or structures that are buried in soils. Examples applications are building and bridge foundations, retaining walls, dams, and buried pipeline systems.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2108,"Principles of civil engineering management: This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU's Senate, including the teaching and assessment of visual and written communication 'literacies'; and at least 40% of the course grade assigned to communication-rich assessment tasks. This course conveys knowledge of the fundamentals of construction project management, including core principles and their basic applications, which can be further built upon during career development. Topics span both the management of civil engineering designs and the management of construction projects. The course imparts important basics of the planning and control of time and money, and links these to achieving better value for stakeholders, including quality and life cycle considerations. Civil engineering projects are characterised by their uniqueness, complexity and uncertainty, and these have posed immense challenges to our industry. To satisfy the client and project requirements, a good management skill and knowledge is of paramount importance. While engineers play a key role in relevant government departments, client organisations, design offices and contracting firms, they have the responsibilities of improving the efficiency, safety and quality of civil engineering projects and maximising the chance of project success and discharging their duties ethically. Therefore, the aims of this course are to introduce the basic concepts of various aspects of management and to explain how to apply these management principles to plan, organise and control a civil engineering project.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2111,"Transportation engineering: This course is an introductory course of Transportation Engineering, and covers the causes and motivations of the movements of people and goods, the basic characteristics of different transportation modes, land use and transportation planning, equilibrium analysis, cost-benefit analysis, travel demand modeling and forecasting, highway alignment and geometric design and transportation surveys. Hong Kong examples will be used if possible.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2112,"Structural analysis: This course provides students with the basic knowledge and understanding of the behaviour and analysis of both statically determinate structures and statically indeterminate structures. It also provides the background for future study of structural design. At the end of this course, students who fulfil the requirements of this course will be able to: 1. Understand the fundamental principles of structural theory; 2. Analyse simple structures for their reactions and internal forces; 3. Determine deflections of simple structures; and 4. Analyse statically indeterminate structures for their reactions and internal forces.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2113,"Structural design: This course provides students with the basic knowledge and understanding in structural design of both reinforced concrete and steel structures. Students must have taken the pre-requisite CIVL2112 Structural Analysis before taking this course. The course will also have an individual project on preliminary design of a structure which will help students to understand the overall structural design process. At the end of this course, students who fulfil the requirements of this course will be able to: 1. Identify and understand vertical and lateral loadings and load paths of a structure. 2. Design simple sections and members using reinforced concrete and hot-rolled steel.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL4101,"Capstone design project: All modern engineering projects required high-level design capability and communication skills from engineers. With the stronger demand for quality infrastructural projects, many professional engineers are facing the common challenge of working in an interdisciplinary taskforce. Therefore, the aims of this course are to train students to work on civil engineering projects professionally through synergistic teamwork within a realistic working environment. The course will start by introducing the importance of engineering design and communication skills, and then will equip students with the general knowledge of project design across various disciplines by a series of seminars. In each academic year, a few projects will be offered. By dividing into small project groups (5-8 students), each group will be assigned one of the projects and supervised by one of the departmental teaching staff (Staff Tutor) and a part-time teacher from various sectors of the industry (Industrial Tutor). The students will be working closely with their Staff Tutor and Industrial Tutor throughout the project period, together with various advisers, on the engineering feasibility of the assigned project and the preliminary and detailed design of selected components of the project. The assessment of project quality will be based on a series of oral presentations, poster presentations and written reports from the project team. Another departmental teaching staff will act as Moderator to ensure consistency in assessment. The poster presentations allow a fair assessment of all groups taking part in the same project by all teachers engaged in the same project.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2114,"Internship: The course is to provide industrial training to engineering students. The students will have an opportunity to gain practical experience in civil engineering and related professions. The course requires students to complete a period of full-time approved internship in industry, of not less than 4 weeks normally after the end of the second semester of the student's third academic year of study. The students are required to complete the internship to the satisfaction of an engineering professional, who will act as the students' supervisors during the internship. During the course of their internship, sometimes students will be asked to visit construction sites. To comply with the legal requirements and for safety reasons, all students must complete the Mandatory Basic Safety Training Course (MBST). Through the MBST course, students will gain an understanding on the relevant safety legislation; potential hazards and preventive strategies; use of the protective equipment and the accident reporting mechanism. All students must also complete other training courses as specified by Department.",HKU,Hong Kong,Engineering,Civil Engineering
