course_code,course_description,University,Country,Faculty,Department
CAES9542,"Technical English for Computer Science: Running alongside Computer Science, Financial Technology, Data Science related final-year / capstone project courses, this one-semester, 6-credit course will build and consolidate students’ ability to compose technical reports, and make technical oral presentations. The focus of this course is on helping students to report on the progress of their Final Year Project in an effective, professional manner in both written and oral communication. Topics include accessing, abstracting, analyzing, organizing and summarizing information; making effective grammatical and lexical choices; technical report writing; and technical presentations.",HKU,Hong Kong,Engineering,Computer Science
COMP1117,"Computer programming: This is an introductory course in computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered.",HKU,Hong Kong,Engineering,Computer Science
COMP2113,"Programming technologies: This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control. This is a self-learning course; there will be no lecture and students will be provided with self-study materials. Students are required to complete milestone-based self-assessment tasks during the course. This course is designed for students who are interested in Computer Science / Computer Engineering.",HKU,Hong Kong,Engineering,Computer Science
COMP2119,"Introduction to data structures and algorithms: Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.",HKU,Hong Kong,Engineering,Computer Science
COMP2120,Computer organization: Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.,HKU,Hong Kong,Engineering,Computer Science
COMP2121,"Discrete mathematics: This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.",HKU,Hong Kong,Engineering,Computer Science
COMP2396,Object-oriented programming and Java: Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,HKU,Hong Kong,Engineering,Computer Science
COMP2501,"Introduction to data science and engineering: The course introduces basic concepts and methodology of data science. The goal of this course is to provide students with an overview and practical experience of the entire data analysis process. Topics include: data source and data acquisition, data preparation and manipulation, exploratory data analysis, statistical and predictive analysis, data visualization and communication.",HKU,Hong Kong,Engineering,Computer Science
COMP3230,"Principles of operating systems: Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.",HKU,Hong Kong,Engineering,Computer Science
COMP3231,Computer architecture: Introduction to computer design process; performance and cost analysis; instruction set design; data-path and controller design; pipelining; memory system; I/O design; GPU architecture and programming; introduction to advanced topics.,HKU,Hong Kong,Engineering,Computer Science
COMP3234,Computer and communication networks: Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,HKU,Hong Kong,Engineering,Computer Science
COMP3235,Compiling techniques: Lexical analysis; symbol table management; parsing techniques; error detection; error recovery; error diagnostics; run-time memory management; optimization; code generation.,HKU,Hong Kong,Engineering,Computer Science
COMP3251,"Algorithm design: The course introduces various algorithm design techniques, including divide and conquer, greedy, and dynamic programming, and studies selected topics on graph algorithms. These techniques can be used to design better algorithms in various areas of computer science. The course also gives an overview of NP-complete problems.",HKU,Hong Kong,Engineering,Computer Science
COMP3252,"Algorithm design and analysis: The course studies principles of algorithm design and the analysis of sophisticated algorithms (regarding proof of correctness and time complexity). Topics include divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, network flow, geometric algorithms, and NP-completeness. The course puts emphasis on mathematical rigor; it expects students to figure out the mathematics and logic that make algorithms work. Students can form pairs to discuss the assignments and are required to write rigorous proofs of correctness and analysis independently.",HKU,Hong Kong,Engineering,Computer Science
